,_id,stratmed_sku,brand_code,brand_name,category,committed_volume,dose_size,dpco_list,form,generic_name,group,gst,manufacturer_code,mrp,price_effective_from_date,price_effective_to_date,purchase_price_w_gst,remarks,roa,status,subcategory,therapy_code,unit_per_pack,uom_pack_type,business_unit,dpco_ceiling_price,hsn_code,innovator_brand,marketed_by,therapy_name,group_name,manufacturer_name,category_name,subcategory_name,form_name,roa_name,created_by,created_date,unit_per_pack_num,update_date,updated_by,1m_mfg_name,generic_code,combined
195,600875F616802C03E8AE79A7,100361,NAN,CROCIN ADVANCE TAB,CAT100,NAN,500MG,NO,FOR102,PARACETAMOL,GRP248,12,SMMFG00001-01,20.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUB174,STH104,15,STRIP,NAN,NAN,NAN,NO,GLAXOSMITHKLINE,CENTRAL NERVOUS SYSTEM DISORDERS,NON-NARCOTICS-ANTIPYER.,GLAXOSMITHKLINE,PHARMA,ANALGESICS & ANTIPYRETICS,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,PARACETAMOL_TABLETS_500MG_GLAXOSMITHKLINE_CROCIN ADVANCE TAB_15
339,600875F616802C03E8AE7A55,100535,NAN,GUDRIL TAB,CAT100,NAN,325MG+37.5MG,NO,FOR102,PARACETAMOL+TRAMADOL,GRP248,12,SMMFG00027-01,87.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUB174,STH104,10,STRIP,NAN,NAN,NAN,NO,INTAS PHARMA,CENTRAL NERVOUS SYSTEM DISORDERS,NON-NARCOTICS-ANTIPYER.,INTAS PHARMA,PHARMA,ANALGESICS & ANTIPYRETICS,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,PARACETAMOL+TRAMADOL_TABLETS_325MG+37.5MG_INTAS PHARMA_GUDRIL TAB_10
543,600875F616802C03E8AE7B5C,100798,NAN,FORANE SOLUTION 250 ML,CAT100,NAN,NAN,NO,FOR106,ISOFLURANE,GRP115,5,SMMFG00014-01,2488.5,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC116,STH104,1,BOTTLE,NO,NAN,NAN,NO,ABBOTT,CENTRAL NERVOUS SYSTEM DISORDERS,ANAESTHETICS GENERAL,ABBOTT,PHARMA,ANESTHETICS,LIQUIDS/SOLUTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ISOFLURANE_LIQUIDS/SOLUTIONS_NAN_ABBOTT_FORANE SOLUTION 250 ML_1
737,600875F616802C03E8AE7C42,101028,NAN,FORXIGA 5 MG TAB,CAT100,NAN,5MG,NO,FOR102,DAPAGLIFLOZIN,GRP254,12,SMMFG00173-01,1523.2,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC117,STH113,14,STRIP,NAN,NAN,NAN,NO,ASTRAZENECA,DIABETOLOGY,ORAL ANTIDIABETICS,ASTRAZENECA,PHARMA,ANTI-DIABETIC,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DAPAGLIFLOZIN_TABLETS_5MG_ASTRAZENECA_FORXIGA 5 MG TAB_14
943,600875F716802C03E8AE7D23,101253,NAN,AUGMENTIN 1.2 GM INJ,CAT100,NAN,1000MG+200MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00001-01,140.22,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,GLAXOSMITHKLINE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_1000MG+200MG_GLAXOSMITHKLINE_AUGMENTIN 1.2 GM INJ_1
953,600875F716802C03E8AE7D30,101266,NAN,GENTICYN 80 MG INJ,CAT100,NAN,80MG,NO,FOR105,GENTAMICIN,GRP108,12,SMMFG00014-01,9.21,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,ABBOTT,ANTI-INFECTIVES & INFECTIOUS DISEASES,ALL OTHER ANTIBIOTICS,ABBOTT,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,GENTAMICIN_INJECTIONS_80MG_ABBOTT_GENTICYN 80 MG INJ_1
1067,600875F716802C03E8AE7DB4,101398,NAN,ADVENT 1.2 GM INJ,CAT100,NAN,1000MG+200MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,140.21,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_1000MG+200MG_CIPLA_ADVENT 1.2 GM INJ_1
1152,600875F716802C03E8AE7E1A,101500,NAN,ADVENT 300 MG INJ,CAT100,NAN,250MG+50MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,87.72,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_250MG+50MG_CIPLA_ADVENT 300 MG INJ_1
1176,600875F716802C03E8AE7E43,101541,NAN,ADVENT 457 MG DT TAB,CAT100,NAN,400MG+57MG,NAN,FOR111,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,NAN,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC103,STH103,6,STRIP,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,TABLETS-DT,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_TABLETS-DT_400MG+57MG_CIPLA_ADVENT 457 MG DT TAB_6
1177,600875F716802C03E8AE7E44,101542,NAN,ADVENT 600 MG INJ,CAT100,NAN,500MG+100MG,NAN,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,98.67,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_500MG+100MG_CIPLA_ADVENT 600 MG INJ_1
1322,600875F716802C03E8AE7F17,101753,NAN,LORTINIL TZ INJ,CAT100,NAN,1000MG+125MG,NO,FOR105,CEFTAZIDIME+TAZOBACTUM,GRP183,12,SMMFG00037-01,413.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,VERITAZ HEALTHCARE,ANTI-INFECTIVES & INFECTIOUS DISEASES,CEPHALOSPORINS,VERITAZ HEALTHCARE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CEFTAZIDIME+TAZOBACTUM_INJECTIONS_1000MG+125MG_VERITAZ HEALTHCARE_LORTINIL TZ INJ_1
1824,600875F816802C03E8AE81D0,102450,NAN,MET AM 50/5 XL TAB,CAT100,NAN,5MG+50MG,NO,FOR102,AMLODIPINE+METOPROLOL,GRP224,12,SMMFG00106-01,230.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC101,STH101,15,STRIP,NAN,NAN,NAN,NO,AJANTA PHARMA,CARDIOLOGY,HYPOTENSIVE DUAL COMB.,AJANTA PHARMA,PHARMA,CARDIAC & HEMATINICS,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMLODIPINE+METOPROLOL_TABLETS_5MG+50MG_AJANTA PHARMA_MET AM 50/5 XL TAB_15
2015,600875F816802C03E8AE82AA,102668,NAN,MET AM 25/5 XL TAB,CAT100,NAN,5MG+25MG,NO,FOR102,AMLODIPINE+METOPROLOL,GRP224,12,SMMFG00106-01,211.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC101,STH101,15,STRIP,NAN,NAN,NAN,NO,AJANTA PHARMA,CARDIOLOGY,HYPOTENSIVE DUAL COMB.,AJANTA PHARMA,PHARMA,CARDIAC & HEMATINICS,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMLODIPINE+METOPROLOL_TABLETS_5MG+25MG_AJANTA PHARMA_MET AM 25/5 XL TAB_15
2527,600875F816802C03E8AE8501,103267,NAN,ATARAX ANTI ITCH LOTION,CAT100,NAN,NAN,NO,FOR138,ALOE BARBADENSIS+PRAMOCAINE HYDROCHLORIDE,GRP207,18,SMMFG00022-01,333.0,NAN,NAN,NAN,NAN,ROA101,ACTIVE,SUBC110,STH109,1,BOTTLE,NO,NAN,NAN,NO,DR REDDYS LABS,DERMATOLOGY,EMOLLIENTS-PROTECTIVES,DR REDDYS LABS,PHARMA,DERMATOLOGY,LOTIONS,TOPICAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ALOE BARBADENSIS+PRAMOCAINE HYDROCHLORIDE_LOTIONS_NAN_DR REDDYS LABS_ATARAX ANTI ITCH LOTION_1
2561,600875F816802C03E8AE8526,103304,NAN,DESOWEN 10 GM CREAM,CAT100,NAN,0.05%W/W,NO,FOR113,DESONIDE,GRP192,12,SMMFG00534-01,168.5,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC110,STH109,1,TUBE,NO,NAN,NAN,NO,GALDERMA,DERMATOLOGY,CORTICOSTEROIDS PLAIN,GALDERMA,PHARMA,DERMATOLOGY,CREAMS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESONIDE_CREAMS_0.05%W/W_GALDERMA_DESOWEN 10 GM CREAM_1
2565,600875F816802C03E8AE852A,103308,NAN,CASFUNG 50 MG INJ,CAT100,NAN,50MG,NO,FOR105,CASPOFUNGIN,GRP139,12,SMMFG00028-01,3999.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC110,STH109,1,VIAL,NAN,NAN,NAN,NO,GLENMARK PHARMA,DERMATOLOGY,ANTIFUNG. SYST. EX.GRIS.,GLENMARK PHARMA,PHARMA,DERMATOLOGY,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CASPOFUNGIN_INJECTIONS_50MG_GLENMARK PHARMA_CASFUNG 50 MG INJ_1
2582,600875F816802C03E8AE853C,103326,NAN,PACROMA CREAM,CAT100,NAN,1%W/W,NO,FOR113,PIMECROLIMUS,GRP198,12,SMMFG00106-01,621.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC110,STH109,1,TUBE,NAN,NAN,NAN,NO,AJANTA PHARMA,DERMATOLOGY,DERMA IMMUNOMODULATORS.,AJANTA PHARMA,PHARMA,DERMATOLOGY,CREAMS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,PIMECROLIMUS_CREAMS_1%W/W_AJANTA PHARMA_PACROMA CREAM_1
2643,600875F816802C03E8AE857C,103390,NAN,KZ PLUS LOTION 75 ML,CAT100,NAN,2%W/V+1%W/V,NO,FOR138,KETOCONAZOLE+ZINC PYRITHIONE,GRP217,12,SMMFG00043-01,349.0,NAN,NAN,NAN,NAN,ROA101,ACTIVE,SUBC110,STH109,1,BOTTLE,NAN,NAN,NAN,NO,HEGDE & HEGDE,DERMATOLOGY,HAIR CARE/ANTIDANDRUFF PREP.,HEGDE & HEGDE,PHARMA,DERMATOLOGY,LOTIONS,TOPICAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,KETOCONAZOLE+ZINC PYRITHIONE_LOTIONS_2%W/V+1%W/V_HEGDE & HEGDE_KZ PLUS LOTION 75 ML_1
3120,600875F816802C03E8AE8775,103898,NAN,COQ FORTE CAP,CAT100,NAN,NAN,NO,FOR109,DOCONEXENT+ICOSAPENT+LYCOPENE+SELENIUM+UBIDECARENONE,GRP210,18,SMMFG00011-01,73.4,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC118,STH105,10,STRIP,NO,NAN,NAN,NO,SANOFI,NUTRITIONAL AND DIETARY SUPPLEMENTS,FOOD SUPPLEMENTS,SANOFI,PHARMA,FOOD SUPPLEMENTS & INFANT FORMULAS,CAPSULES,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DOCONEXENT+ICOSAPENT+LYCOPENE+SELENIUM+UBIDECARENONE_CAPSULES_NAN_SANOFI_COQ FORTE CAP_10
3304,600875F816802C03E8AE8839,104094,NAN,PANTIN 40 MG INJ,CAT100,NAN,40MG,NO,FOR105,PANTOPRAZOLE,GRP153,12,SMMFG00025-01,48.5,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC102,STH102,1,VIAL,NAN,NAN,NAN,NO,HETERO HEALTHCARE,GASTROENTEROLOGY,ANTIPEPTIC ULCERANTS,HETERO HEALTHCARE,PHARMA,GASTROENTEROLOGY,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,PANTOPRAZOLE_INJECTIONS_40MG_HETERO HEALTHCARE_PANTIN 40 MG INJ_1
3350,600875F816802C03E8AE886B,104144,NAN,LESURIDE 25 MG TAB,CAT100,NAN,25MG,NO,FOR102,LEVOSULPIRIDE,GRP211,12,SMMFG00012-01,65.25,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC102,STH102,10,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GASTROENTEROLOGY,G.I.PROKINETIC,SUN PHARMA,PHARMA,GASTROENTEROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,LEVOSULPIRIDE_TABLETS_25MG_SUN PHARMA_LESURIDE 25 MG TAB_10
3554,600875F916802C03E8AE895D,104386,NAN,ZOFER 4 MG TAB,CAT100,NAN,4MG,NO,FOR102,ONDANSETRON,GRP134,12,SMMFG00012-01,51.37,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC102,STH102,10,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GASTROENTEROLOGY,ANTIEMET.-ANTINAUS SOL.,SUN PHARMA,PHARMA,GASTROENTEROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ONDANSETRON_TABLETS_4MG_SUN PHARMA_ZOFER 4 MG TAB_10
3621,600875F916802C03E8AE89AB,104464,NAN,DOMSTAL 10 MG DT TAB,CAT100,NAN,10MG,NO,FOR111,DOMPERIDONE,GRP134,12,SMMFG00018-01,39.5,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC102,STH102,10,STRIP,NAN,NAN,NAN,NO,TORRENT PHARMA,GASTROENTEROLOGY,ANTIEMET.-ANTINAUS SOL.,TORRENT PHARMA,PHARMA,GASTROENTEROLOGY,TABLETS-DT,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DOMPERIDONE_TABLETS-DT_10MG_TORRENT PHARMA_DOMSTAL 10 MG DT TAB_10
3802,600875F916802C03E8AE8A81,104678,NAN,LIVOGEN TAB,CAT100,NAN,1500MCG+50MG,NO,FOR102,FERROUS FUMARATE+FOLIC ACID,GRP216,12,SMMFG00193-01,188.76,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,15,STRIP,NO,NAN,NAN,NO,PROCTER & GAMBLE,GYNAECOLOGY,HAEMATINICS-IRON+COMB,PROCTER & GAMBLE,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FERROUS FUMARATE+FOLIC ACID_TABLETS_1500MCG+50MG_PROCTER & GAMBLE_LIVOGEN TAB_15
